loop_id,winding_sign,n_voxels,centroid_x,centroid_y,centroid_z,max_winding,step,time,temperature
22,+,64,469.00,456.00,31.50,1.0000,3525,8.81250000e+02,6769.86
23,-,64,474.00,208.00,31.50,1.0000,3525,8.81250000e+02,6769.86
24,+,64,504.00,198.00,31.50,1.0000,3525,8.81250000e+02,6769.86
1,-,55,26.56,409.00,36.44,1.0000,3525,8.81250000e+02,6769.86
20,-,46,387.20,358.00,41.30,1.0000,3525,8.81250000e+02,6769.86
21,-,18,388.00,358.00,8.50,1.0000,3525,8.81250000e+02,6769.86
3,+,14,279.86,344.00,49.64,2.0000,3525,8.81250000e+02,6769.86
16,+,12,292.67,340.00,8.83,1.0000,3525,8.81250000e+02,6769.86
2,-,9,27.00,409.00,4.00,1.0000,3525,8.81250000e+02,6769.86
12,+,9,289.11,341.00,1.89,2.0000,3525,8.81250000e+02,6769.86
6,+,7,282.86,343.00,57.14,2.0000,3525,8.81250000e+02,6769.86
9,+,7,285.71,342.00,61.29,2.0000,3525,8.81250000e+02,6769.86
19,+,4,293.00,340.00,16.50,1.0000,3525,8.81250000e+02,6769.86
4,+,3,280.00,344.00,41.00,1.0000,3525,8.81250000e+02,6769.86
5,+,2,281.00,344.00,37.50,1.0000,3525,8.81250000e+02,6769.86
11,-,2,285.00,342.50,31.00,2.0000,3525,8.81250000e+02,6769.86
14,-,2,288.00,341.50,27.00,2.0000,3525,8.81250000e+02,6769.86
17,+,2,291.00,341.00,21.50,1.0000,3525,8.81250000e+02,6769.86
7,-,1,282.00,344.00,35.00,1.0000,3525,8.81250000e+02,6769.86
8,+,1,283.00,343.00,34.00,1.0000,3525,8.81250000e+02,6769.86
10,+,1,284.00,343.00,32.00,1.0000,3525,8.81250000e+02,6769.86
13,+,1,287.00,342.00,28.00,1.0000,3525,8.81250000e+02,6769.86
15,+,1,290.00,341.00,24.00,1.0000,3525,8.81250000e+02,6769.86
18,+,1,292.00,340.00,20.00,1.0000,3525,8.81250000e+02,6769.86
